,0
0,Arkansas
1,Colorado
2,Connecticut
3,Delaware
4,Florida
5,Georgia
6,Hawaii
7,Idaho
8,Illinois
9,Iowa
10,Kansas
11,Kentucky
12,Louisiana
13,Massachusetts
14,Michigan
15,Minnesota
16,Mississippi
17,Missouri
18,Montana
19,Nebraska
20,Nevada
21,New Hampshire
22,New Mexico
23,New York
24,North Dakota
25,Oklahoma
26,Oregon
27,Pennsylvania
28,Rhode Island
29,South Dakota
30,Tennessee
31,Utah
32,Vermont
33,Virginia
34,West Virginia
35,Wisconsin
36,Wyoming
